,train,val
0,"{'metric': {'sentiment': 0.4057818353176117, 'paraphrase_classifier': 0.6352643370628357, 'paraphrase_regressor': 0.37972021102905273}, 'loss': {'sentiment': 1.4978724718093872, 'paraphrase_classifier': 0.6407777667045593, 'paraphrase_regressor': 1.9088078737258911}}","{'metric': {'sentiment': 0.3796548843383789, 'paraphrase_classifier': 0.6292301416397095, 'paraphrase_regressor': 0.3261793851852417}, 'loss': {'sentiment': 1.5092219114303589, 'paraphrase_classifier': 0.6430075764656067, 'paraphrase_regressor': 1.9615473747253418}}"
1,"{'metric': {'sentiment': 0.4057818353176117, 'paraphrase_classifier': 0.6352643370628357, 'paraphrase_regressor': 0.37972021102905273}, 'loss': {'sentiment': 1.4978724718093872, 'paraphrase_classifier': 0.6407777667045593, 'paraphrase_regressor': 1.9088078737258911}}","{'metric': {'sentiment': 0.46684834361076355, 'paraphrase_classifier': 0.6743023991584778, 'paraphrase_regressor': 0.36164647340774536}, 'loss': {'sentiment': 1.2157756090164185, 'paraphrase_classifier': 0.6063421964645386, 'paraphrase_regressor': 1.9125124216079712}}"
2,"{'metric': {'sentiment': 0.5722144246101379, 'paraphrase_classifier': 0.6722615957260132, 'paraphrase_regressor': 0.6372514367103577}, 'loss': {'sentiment': 1.0232725143432617, 'paraphrase_classifier': 0.6094362139701843, 'paraphrase_regressor': 1.3503718376159668}}","{'metric': {'sentiment': 0.4950045645236969, 'paraphrase_classifier': 0.6702454090118408, 'paraphrase_regressor': 0.3639751970767975}, 'loss': {'sentiment': 1.1704907417297363, 'paraphrase_classifier': 0.6108447313308716, 'paraphrase_regressor': 1.9282336235046387}}"
3,"{'metric': {'sentiment': 0.5722144246101379, 'paraphrase_classifier': 0.6722615957260132, 'paraphrase_regressor': 0.6372514367103577}, 'loss': {'sentiment': 1.0232725143432617, 'paraphrase_classifier': 0.6094362139701843, 'paraphrase_regressor': 1.3503718376159668}}","{'metric': {'sentiment': 0.5022706985473633, 'paraphrase_classifier': 0.7012665867805481, 'paraphrase_regressor': 0.3659238815307617}, 'loss': {'sentiment': 1.1520603895187378, 'paraphrase_classifier': 0.5820149183273315, 'paraphrase_regressor': 2.004965305328369}}"
4,"{'metric': {'sentiment': 0.6720505952835083, 'paraphrase_classifier': 0.7165169715881348, 'paraphrase_regressor': 0.8267998695373535}, 'loss': {'sentiment': 0.8241033554077148, 'paraphrase_classifier': 0.5632838010787964, 'paraphrase_regressor': 0.7302314043045044}}","{'metric': {'sentiment': 0.5149863958358765, 'paraphrase_classifier': 0.7149218320846558, 'paraphrase_regressor': 0.3433884382247925}, 'loss': {'sentiment': 1.164362907409668, 'paraphrase_classifier': 0.5685358047485352, 'paraphrase_regressor': 2.1243321895599365}}"
5,"{'metric': {'sentiment': 0.6720505952835083, 'paraphrase_classifier': 0.7165169715881348, 'paraphrase_regressor': 0.8267998695373535}, 'loss': {'sentiment': 0.8241033554077148, 'paraphrase_classifier': 0.5632838010787964, 'paraphrase_regressor': 0.7302314043045044}}","{'metric': {'sentiment': 0.5140781402587891, 'paraphrase_classifier': 0.704433023929596, 'paraphrase_regressor': 0.3585367500782013}, 'loss': {'sentiment': 1.1743382215499878, 'paraphrase_classifier': 0.5746509432792664, 'paraphrase_regressor': 2.2890663146972656}}"
6,"{'metric': {'sentiment': 0.7523408532142639, 'paraphrase_classifier': 0.6995554566383362, 'paraphrase_regressor': 0.9006327986717224}, 'loss': {'sentiment': 0.6669438481330872, 'paraphrase_classifier': 0.5793945789337158, 'paraphrase_regressor': 0.41856327652931213}}","{'metric': {'sentiment': 0.4950045645236969, 'paraphrase_classifier': 0.691717803478241, 'paraphrase_regressor': 0.34083259105682373}, 'loss': {'sentiment': 1.2048397064208984, 'paraphrase_classifier': 0.585060179233551, 'paraphrase_regressor': 2.263110637664795}}"
7,"{'metric': {'sentiment': 0.7523408532142639, 'paraphrase_classifier': 0.6995554566383362, 'paraphrase_regressor': 0.9006327986717224}, 'loss': {'sentiment': 0.6669438481330872, 'paraphrase_classifier': 0.5793945789337158, 'paraphrase_regressor': 0.41856327652931213}}","{'metric': {'sentiment': 0.5095368027687073, 'paraphrase_classifier': 0.7267959713935852, 'paraphrase_regressor': 0.33361679315567017}, 'loss': {'sentiment': 1.2419472932815552, 'paraphrase_classifier': 0.5520333647727966, 'paraphrase_regressor': 2.345304489135742}}"
8,"{'metric': {'sentiment': 0.793188214302063, 'paraphrase_classifier': 0.7305949926376343, 'paraphrase_regressor': 0.9358372688293457}, 'loss': {'sentiment': 0.5572325587272644, 'paraphrase_classifier': 0.5440040230751038, 'paraphrase_regressor': 0.289614200592041}}","{'metric': {'sentiment': 0.4868301749229431, 'paraphrase_classifier': 0.7223431468009949, 'paraphrase_regressor': 0.33733633160591125}, 'loss': {'sentiment': 1.3879594802856445, 'paraphrase_classifier': 0.5542274117469788, 'paraphrase_regressor': 2.316363573074341}}"
9,"{'metric': {'sentiment': 0.793188214302063, 'paraphrase_classifier': 0.7305949926376343, 'paraphrase_regressor': 0.9358372688293457}, 'loss': {'sentiment': 0.5572325587272644, 'paraphrase_classifier': 0.5440040230751038, 'paraphrase_regressor': 0.289614200592041}}","{'metric': {'sentiment': 0.47956404089927673, 'paraphrase_classifier': 0.732683539390564, 'paraphrase_regressor': 0.3264222741127014}, 'loss': {'sentiment': 1.3735867738723755, 'paraphrase_classifier': 0.5432978868484497, 'paraphrase_regressor': 2.3903086185455322}}"
