,train,val
0,"{'metric': {'sentiment': 0.27492979168891907}, 'loss': {'sentiment': 1.5352038145065308}}","{'metric': {'sentiment': 0.2679382562637329}, 'loss': {'sentiment': 1.5362766981124878}}"
1,"{'metric': {'sentiment': 0.3852996230125427}, 'loss': {'sentiment': 1.4822701215744019}}","{'metric': {'sentiment': 0.36693915724754333}, 'loss': {'sentiment': 1.4860997200012207}}"
2,"{'metric': {'sentiment': 0.3659878373146057}, 'loss': {'sentiment': 1.4530903100967407}}","{'metric': {'sentiment': 0.36058130860328674}, 'loss': {'sentiment': 1.4670777320861816}}"
3,"{'metric': {'sentiment': 0.3604868948459625}, 'loss': {'sentiment': 1.4299702644348145}}","{'metric': {'sentiment': 0.3378746807575226}, 'loss': {'sentiment': 1.4495549201965332}}"
4,"{'metric': {'sentiment': 0.36786049604415894}, 'loss': {'sentiment': 1.4345232248306274}}","{'metric': {'sentiment': 0.35603997111320496}, 'loss': {'sentiment': 1.462748646736145}}"
5,"{'metric': {'sentiment': 0.41584739089012146}, 'loss': {'sentiment': 1.39138925075531}}","{'metric': {'sentiment': 0.3923705816268921}, 'loss': {'sentiment': 1.4098013639450073}}"
6,"{'metric': {'sentiment': 0.39197099208831787}, 'loss': {'sentiment': 1.393782138824463}}","{'metric': {'sentiment': 0.3860127329826355}, 'loss': {'sentiment': 1.41070556640625}}"
7,"{'metric': {'sentiment': 0.3982912003993988}, 'loss': {'sentiment': 1.3822921514511108}}","{'metric': {'sentiment': 0.3732970058917999}, 'loss': {'sentiment': 1.4127975702285767}}"
8,"{'metric': {'sentiment': 0.42240169644355774}, 'loss': {'sentiment': 1.3596107959747314}}","{'metric': {'sentiment': 0.40236151218414307}, 'loss': {'sentiment': 1.3822431564331055}}"
9,"{'metric': {'sentiment': 0.41982677578926086}, 'loss': {'sentiment': 1.3578318357467651}}","{'metric': {'sentiment': 0.3887375295162201}, 'loss': {'sentiment': 1.3783104419708252}}"
10,"{'metric': {'paraphrase_classifier': 0.6855692863464355}, 'loss': {'paraphrase_classifier': 0.6008891463279724}}","{'metric': {'paraphrase_classifier': 0.6813279390335083}, 'loss': {'paraphrase_classifier': 0.6045228242874146}}"
